char,pinyin,division,code
作,zuo4,亻𠂉{乍下},TPLu
佝,gou1,亻勹口,TSOv
佝,kou4,亻勹口,TSOv
佞,ning4,亻二女,TECv
佟,tong2,亻夂⺀,TVZu
你,ni3,亻⺈小,TQCx
佡,xian1,亻𠆢山,TUMv
佢,qu2,亻匚コ,TFDu
佣,yong4,亻用,TSy
佤,wa3,亻瓦,THw
佥,qian1,人二⺍,UEZu
佦,you4,亻石,TGv
佧,ka3,亻上卜,TLLb
佨,bao1,亻勹巳,TSDs
佩,pei4,亻𠘨一巾,TQGM
佪,huai2,亻囗口,TNOv
佫,he4,亻夂口,TVOv
佬,lao3,亻耂匕,TJVi
佭,xiang2,亻夂㐄,TVFu
佮,e2,亻人一口,TUGO
佮,ge2,亻人一口,TUGO
佯,yang2,亻羊,TXy
佰,bai3,亻丆日,TGKv
佱,fa3,人二止,UELz
佲,ming3,亻夕口,TQOv
佳,jia1,亻土土,TJJv
佴,er4,亻耳,THe
併,bing4,亻䒑廾,TXHv
佶,ji2,亻士口,TJOv
佷,hen3,亻艮,TBg
佸,huo2,亻千口,TROv
佹,gui3,亻⺈厂㔾,TQGB
佺,quan2,亻𠆢王,TUEv
佻,tiao1,亻儿冫{飞右},TVXT
佼,jiao3,亻亠八乂,TYTT
佽,ci4,亻冫欠,TXQq
佾,yi4,亻八⺝,TTSv
使,shi3,亻一口乂,TGOT
侀,xing2,亻一廾刂,TGHL
侁,shen1,亻𠂒儿,TPVe
侂,tuo1,亻广㇒七,TWPF
侃,kan3,亻口𫶧,TOVu
侄,zhi2,亻至,TFz
侅,gai1,亻亥,TYh
來,lai2,來,Il
侇,yi2,亻大弓,TFDg
侈,chi3,亻夕夕,TQQx
侉,kua3,亻大一丂,TFGE
侊,guang1,亻⺌兀,TNGw
例,li4,亻歹刂,TGLd
侌,yin1,𠆢丶乛二厶,UWEA
侍,shi4,亻土寸,TJIc
侎,mi3,亻米,TXm
侏,zhu1,亻㇒未,TPIw
侐,xu4,亻㇒皿,TPMm
侑,you4,亻𠂇⺝,THSv
