倳	〔亻{于下}口彐・TIOB・GBK〕
倴	〔亻大十廾・TFEH・GBK〕
倵	〔亻一戈止・TGFL・GBK〕
倶	〔亻目一八・TNGT・GBK〕
倷	〔亻大示・TFFs・GBK〕
倸	〔亻爫木・TVIv・GBK〕
倹	〔亻𠆢一口人・TUOU・GBK〕
债	〔亻龶贝・TEMb・GB2312〕
倻	〔亻耳阝・THBv・GBK〕
值	〔亻十{具上}・TENq・GB2312〕
倽	〔亻𠆢干口・TUEO・GBK〕
倾	〔亻匕丆贝・TVGM・GB2312〕
倿	〔亻立女・TYCv・GBK〕
偀	〔亻艹冂大・THMF・GBK〕
偁	〔亻爫冂土・TVMJ・GBK〕
偂	〔亻䒑⺝刂・TXSL・GBK〕
偃	〔亻匚日女・TFKC・GB2312〕
偄	〔亻而大・TGFd・GBK〕
偅	〔亻㇒車一・TPJG・GBK〕
偆	〔亻三人日・TIUK・GBK〕
假	〔亻尸二コ又・TDDD・GB2312〕
偈	〔亻日勹人𠃊・TKUC・GB2312〕
偉	〔亻韋・TDw・GBK〕
偊	〔亻㇒虫冂・TPLM・GBK〕
偋	〔亻尸䒑廾・TDXH・GBK〕
偌	〔亻艹𠂇口・THHO・GB2312〕
偍	〔亻日一龰・TKGL・GBK〕
偎	〔亻田{畏下}・TKFu・GB2312〕
偏	〔亻户𠕁・TZMu・GB2312〕
偐	〔亻立⼃彡・TYPS・GBK〕
偑	〔亻風・TQf・GBK〕
偒	〔亻日一⼓{两撇}・TKSS・GBK〕
偓	〔亻尸至・TDFz・GBK〕
偔	〔亻口口一丂・TOGE・GBK〕
偕	〔亻比白・TVUb・GB2312〕
偖	〔亻耂日・TJKv・GBK〕
偗	〔亻𡭔㇒目・TCPN・GBK〕
偘	〔亻口口口・TOOO・GBK〕
偙	〔亻亠丷冖巾・TYQM・GBK〕
做	〔亻古攵・TJPp・GB2312〕
偛	〔亻千臼・TRUj・GBK〕
停	〔亻亠口冖丁・TYQE・GB2312〕
偝	〔亻丬匕⺝・TXVS・GBK〕
偞	〔亻世木・THIv・GBK〕
偟	〔亻白王・TUEv・GBK〕
偠	〔亻覀女・TECv・GBK〕
偡	〔亻其𠃊・THCu・GBK〕
偢	〔亻禾火・TRXv・GBK〕
偣	〔亻音・TYn・GBK〕
偤	〔亻丷酉・TXEy・GBK〕
健	〔亻⺕キ廴・TBFB・GB2312〕
偦	〔亻乛龰⺝・TBLS・GBK〕
偧	〔亻大夕夕・TFQQ・GBK〕
偨	〔亻止匕木・TLVI・GBK〕
偩	〔亻⺈貝・TQNb・GBK〕
偪	〔亻一口田・TGOK・GBK〕
偫	〔亻彳土寸・TSJI・GBK〕
偬	〔亻⼓{两撇}丶心・TSWR・GB2312〕
偭	〔亻面・TGm・GBK〕
偮	〔亻口耳・TOHe・GBK〕
偯	〔亻衣口・TWOv・GBK〕
